,Attrition
0,Yes
1,No
2,No
3,No
4,Yes
5,No
6,No
7,No
8,No
9,Yes
10,No
11,Yes
12,No
13,No
14,No
15,No
16,No
17,Yes
18,No
19,No
20,No
21,No
22,Yes
23,No
24,No
25,No
26,No
27,No
28,No
29,No
30,No
31,No
32,No
33,No
34,No
35,No
36,No
37,No
38,No
39,No
40,No
41,No
42,No
43,No
44,No
45,No
46,Yes
47,No
48,No
49,No
50,No
51,No
52,No
53,No
54,No
55,No
56,No
57,Yes
58,No
59,No
60,No
61,Yes
62,No
63,No
64,Yes
65,No
66,No
67,Yes
68,No
69,Yes
70,No
71,No
72,No
73,No
74,Yes
75,No
76,No
77,No
78,No
79,Yes
80,No
81,Yes
82,No
83,No
84,No
85,No
86,No
87,No
88,No
89,No
90,No
91,Yes
92,No
93,No
94,Yes
95,No
96,No
97,No
98,No
99,Yes
100,No
101,No
102,No
103,Yes
104,No
105,No
106,No
107,No
108,No
109,No
110,No
111,No
112,No
113,No
114,No
115,No
116,No
117,No
118,No
119,No
120,No
121,No
122,No
123,No
124,Yes
125,No
126,No
127,No
128,Yes
129,No
130,Yes
131,No
132,No
133,Yes
134,No
135,No
136,Yes
137,Yes
138,Yes
139,No
140,No
141,No
142,Yes
143,No
144,Yes
145,No
146,No
147,No
148,No
149,No
150,No
151,No
152,Yes
153,No
154,Yes
155,No
156,No
157,No
158,Yes
159,No
160,No
161,No
162,No
163,No
164,No
165,No
166,Yes
167,No
168,No
169,Yes
170,No
171,No
172,No
173,No
174,Yes
175,No
176,Yes
177,No
178,No
179,No
180,No
181,No
182,No
183,No
184,No
185,No
186,No
187,No
188,No
189,No
190,No
191,Yes
192,Yes
193,Yes
194,Yes
195,No
196,Yes
197,No
198,No
199,No
200,No
201,No
202,No
203,No
204,No
205,No
206,Yes
207,No
208,Yes
209,No
210,No
211,No
212,No
213,Yes
214,Yes
215,No
216,No
217,No
218,No
219,No
220,Yes
221,No
222,No
223,No
224,No
225,No
226,No
227,No
228,No
229,Yes
230,No
231,No
232,No
233,No
234,No
235,No
236,No
237,No
238,No
239,No
240,No
241,No
242,No
243,Yes
244,No
245,No
246,No
247,Yes
248,No
249,No
250,Yes
251,No
252,No
253,No
